"trial_name","trial_number","response","RT","question","picture","option1","option2","QUD","picture1","picture2","participant_ID","key_pressed","foil_Type","correctness","g","h","key1","key2","expected","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"key_press_testTrial","8","NA","3526","Is this a fractal? - <strong>TEST</strong>","images/Generated_Pictures/Tri_square_4.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","1","NA","3625","Is this a fractal?","images/Generated_Pictures/Quad_triangle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","2","NA","2551","Is this a fractal?","images/Generated_Pictures/Tri_triangle_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","3","NA","7473","Is this a fractal?","images/Generated_Pictures/Tri_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","4","NA","2962","Is this a fractal?","images/Generated_Pictures/Quad_circle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","5","NA","5745","Is this a fractal?","images/Generated_Pictures/Penta_circle_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","6","NA","2816","Is this a fractal?","images/Generated_Pictures/Hexa_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","7","NA","4090","Is this a fractal?","images/Generated_Pictures/Hexa_circle_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_3","1","NA","2929","Is this a fractal?","images/Generated_Pictures/Hexa_triangle_3_iteration_2.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","8","NA","2466","Is this a fractal?","images/Generated_Pictures/Quad_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","9","NA","3188","Is this a fractal?","images/Generated_Pictures/Hexa_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","10","NA","2536","Is this a fractal?","images/Generated_Pictures/Quad_square_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","11","NA","3967","Is this a fractal?","images/Generated_Pictures/Tri_triangle_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","12","NA","2369","Is this a fractal?","images/Generated_Pictures/Tri_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","13","NA","2817","Is this a fractal?","images/Generated_Pictures/Penta_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","14","NA","2830","Is this a fractal?","images/Generated_Pictures/Tri_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_3","2","NA","4833","Is this a fractal?","images/Generated_Pictures/Penta_circle_3_iteration_2.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","15","NA","2541","Is this a fractal?","images/Generated_Pictures/Hexa_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","16","NA","3762","Is this a fractal?","images/Generated_Pictures/Penta_circle_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","17","NA","4171","Is this a fractal?","images/Generated_Pictures/Hexa_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","18","NA","4365","Is this a fractal?","images/Generated_Pictures/Hexa_triangle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","19","NA","2997","Is this a fractal?","images/Generated_Pictures/Hexa_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","20","NA","2804","Is this a fractal?","images/Generated_Pictures/Quad_square_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","21","NA","3874","Is this a fractal?","images/Generated_Pictures/Penta_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_3","3","NA","2342","Is this a fractal?","images/Generated_Pictures/Penta_arrow_3_iteration_4.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","22","NA","2303","Is this a fractal?","images/Generated_Pictures/Hexa_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","23","NA","3768","Is this a fractal?","images/Generated_Pictures/Penta_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","24","NA","2312","Is this a fractal?","images/Generated_Pictures/Tri_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","25","NA","2351","Is this a fractal?","images/Generated_Pictures/Tri_square_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","26","NA","2535","Is this a fractal?","images/Generated_Pictures/Quad_triangle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","27","NA","2746","Is this a fractal?","images/Generated_Pictures/Penta_triangle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","28","NA","2467","Is this a fractal?","images/Generated_Pictures/Tri_triangle_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_3","4","NA","5740","Is this a fractal?","images/Generated_Pictures/Penta_circle_3_iteration_3.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","29","NA","2947","Is this a fractal?","images/Generated_Pictures/Tri_circle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","30","NA","3109","Is this a fractal?","images/Generated_Pictures/Quad_circle_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","31","NA","2265","Is this a fractal?","images/Generated_Pictures/Tri_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","32","NA","2822","Is this a fractal?","images/Generated_Pictures/Quad_square_3.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","33","NA","3283","Is this a fractal?","images/Generated_Pictures/Penta_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
